age,nb_payements,interest_rate,amount,target
30,5,0.015,2000,208.73916493335142
30,5,0.015,4000,417.47832986670284
30,5,0.015,8000,834.9566597334057
30,5,0.02,500,42.50345443601595
30,5,0.02,1000,85.0069088720319
30,5,0.02,2000,170.0138177440638
30,5,0.02,4000,340.0276354881276
30,5,0.02,8000,680.0552709762552
30,5,0.025,500,34.843863501837696
30,5,0.025,1000,69.68772700367539
30,5,0.025,2000,139.37545400735078
30,5,0.025,4000,278.75090801470157
30,5,0.025,8000,557.5018160294031
30,10,0,500,50.30278608427845
30,10,0,1000,100.6055721685569
30,10,0,2000,201.2111443371138
30,10,0,4000,402.4222886742276
30,10,0,8000,804.8445773484552
30,10,0.005,500,40.72344674498542
30,10,0.005,1000,81.44689348997083
30,10,0.005,2000,162.89378697994167
30,10,0.005,4000,325.78757395988333
30,10,0.005,8000,651.5751479197667
30,10,0.01,500,33.15765795525903
30,10,0.01,1000,66.31531591051807
30,10,0.01,2000,132.63063182103613
30,10,0.01,4000,265.26126364207227
30,10,0.01,8000,530.5225272841445
30,10,0.015,500,27.15778404236917
30,10,0.015,1000,54.31556808473834
30,10,0.015,2000,108.63113616947668
30,10,0.015,4000,217.26227233895335
30,10,0.015,8000,434.5245446779067
30,10,0.02,500,22.379911541256526
30,10,0.02,1000,44.75982308251305
30,10,0.02,2000,89.5196461650261
30,10,0.02,4000,179.0392923300522
30,10,0.02,8000,358.0785846601044
30,10,0.025,500,18.558996312174987
30,10,0.025,1000,37.117992624349974
30,10,0.025,2000,74.23598524869995
30,10,0.025,4000,148.4719704973999
30,10,0.025,8000,296.9439409947998
30,20,0,500,25.450240072562657
30,20,0,1000,50.900480145125314
30,20,0,2000,101.80096029025063
30,20,0,4000,203.60192058050126
30,20,0,8000,407.2038411610025
30,20,0.005,500,21.11019544474019
30,20,0.005,1000,42.22039088948038
30,20,0.005,2000,84.44078177896075
30,20,0.005,4000,168.8815635579215
30,20,0.005,8000,337.763127115843
30,20,0.01,500,17.59788283926506
30,20,0.01,1000,35.19576567853012
30,20,0.01,2000,70.39153135706024
30,20,0.01,4000,140.7830627141205
30,20,0.01,8000,281.566125428241
30,20,0.015,500,14.746393845782496
30,20,0.015,1000,29.492787691564992
30,20,0.015,2000,58.985575383129984
30,20,0.015,4000,117.97115076625997
30,20,0.015,8000,235.94230153251993
30,20,0.02,500,12.423849571846347
30,20,0.02,1000,24.847699143692694
30,20,0.02,2000,49.69539828738539
30,20,0.02,4000,99.39079657477077
30,20,0.02,8000,198.78159314954155
30,20,0.025,500,10.525810389353234
30,20,0.025,1000,21.051620778706468
30,20,0.025,2000,42.103241557412936
30,20,0.025,4000,84.20648311482587
30,20,0.025,8000,168.41296622965174
30,30,0,500,17.34524171577687
30,30,0,1000,34.69048343155374
30,30,0,2000,69.38096686310747
30,30,0,4000,138.76193372621495
30,30,0,8000,277.5238674524299
30,30,0.005,500,14.727127312975135
30,30,0.005,1000,29.45425462595027
30,30,0.005,2000,58.90850925190054
30,30,0.005,4000,117.81701850380108
30,30,0.005,8000,235.63403700760216
30,30,0.01,500,12.552652141597916
30,30,0.01,1000,25.10530428319583
30,30,0.01,2000,50.21060856639166
30,30,0.01,4000,100.42121713278333
30,30,0.01,8000,200.84243426556665
30,30,0.015,500,10.743167296209194
30,30,0.015,1000,21.486334592418388
30,30,0.015,2000,42.972669184836775
30,30,0.015,4000,85.94533836967355
30,30,0.015,8000,171.8906767393471
30,30,0.02,500,9.234375571405064
30,30,0.02,1000,18.468751142810127
30,30,0.02,2000,36.937502285620255
30,30,0.02,4000,73.87500457124051
30,30,0.02,8000,147.75000914248102
30,30,0.025,500,7.973653154584832
30,30,0.025,1000,15.947306309169663
30,30,0.025,2000,31.894612618339327
30,30,0.025,4000,63.789225236678654
30,30,0.025,8000,127.57845047335731
30,40,0,500,13.505528394880459
30,40,0,1000,27.011056789760918
30,40,0,2000,54.022113579521836
30,40,0,4000,108.04422715904367
30,40,0,8000,216.08845431808734
30,40,0.005,500,11.717085115153168
30,40,0.005,1000,23.434170230306336
30,40,0.005,2000,46.86834046061267
30,40,0.005,4000,93.73668092122534
30,40,0.005,8000,187.4733618424507
30,40,0.01,500,10.189970115865874
30,40,0.01,1000,20.379940231731748
30,40,0.01,2000,40.759880463463496
30,40,0.01,4000,81.51976092692699
30,40,0.01,8000,163.03952185385398
30,40,0.015,500,8.88567220923391
30,40,0.015,1000,17.77134441846782
30,40,0.015,2000,35.54268883693564
30,40,0.015,4000,71.08537767387128
30,40,0.015,8000,142.17075534774256
30,40,0.02,500,7.7712762894692915
30,40,0.02,1000,15.542552578938583
30,40,0.02,2000,31.085105157877166
30,40,0.02,4000,62.17021031575433
30,40,0.02,8000,124.34042063150866
30,40,0.025,500,6.818662781282406
30,40,0.025,1000,13.637325562564811
30,40,0.025,2000,27.274651125129623
30,40,0.025,4000,54.549302250259245
