age,nb_payements,maturity,interest_rate,amount,target
20,5,40,0.005,500,71.688191305564
20,5,40,0.005,1000,143.376382611128
20,5,40,0.005,2000,286.752765222256
20,5,40,0.005,4000,573.505530444512
20,5,40,0.005,8000,1147.011060889024
20,5,40,0.01,500,59.36207392927093
20,5,40,0.01,1000,118.72414785854185
20,5,40,0.01,2000,237.4482957170837
20,5,40,0.01,4000,474.8965914341674
20,5,40,0.01,8000,949.7931828683348
20,5,40,0.015,500,49.19873237977078
20,5,40,0.015,1000,98.39746475954156
20,5,40,0.015,2000,196.79492951908313
20,5,40,0.015,4000,393.58985903816625
20,5,40,0.015,8000,787.1797180763325
20,5,40,0.02,500,40.81111929658905
20,5,40,0.02,1000,81.6222385931781
20,5,40,0.02,2000,163.2444771863562
20,5,40,0.02,4000,326.4889543727124
20,5,40,0.02,8000,652.9779087454248
20,5,40,0.025,500,33.88279572231424
20,5,40,0.025,1000,67.76559144462848
20,5,40,0.025,2000,135.53118288925697
20,5,40,0.025,4000,271.06236577851394
20,5,40,0.025,8000,542.1247315570279
20,10,10,0,500,49.702506099183594
20,10,10,0,1000,99.40501219836719
20,10,10,0,2000,198.81002439673438
20,10,10,0,4000,397.62004879346875
20,10,10,0,8000,795.2400975869375
20,10,10,0.005,500,48.35055852262457
20,10,10,0.005,1000,96.70111704524913
20,10,10,0.005,2000,193.40223409049827
20,10,10,0.005,4000,386.80446818099654
20,10,10,0.005,8000,773.6089363619931
20,10,10,0.01,500,47.0322436104503
20,10,10,0.01,1000,94.0644872209006
20,10,10,0.01,2000,188.1289744418012
20,10,10,0.01,4000,376.2579488836024
20,10,10,0.01,8000,752.5158977672048
20,10,10,0.015,500,45.74689804039251
20,10,10,0.015,1000,91.49379608078502
20,10,10,0.015,2000,182.98759216157003
20,10,10,0.015,4000,365.97518432314007
20,10,10,0.015,8000,731.9503686462801
20,10,10,0.02,500,44.49386406199201
20,10,10,0.02,1000,88.98772812398401
20,10,10,0.02,2000,177.97545624796803
20,10,10,0.02,4000,355.95091249593605
20,10,10,0.02,8000,711.9018249918721
20,10,10,0.025,500,43.27248971674391
20,10,10,0.025,1000,86.54497943348782
20,10,10,0.025,2000,173.08995886697565
20,10,10,0.025,4000,346.1799177339513
20,10,10,0.025,8000,692.3598354679026
20,10,20,0,500,48.94023511057754
20,10,20,0,1000,97.88047022115508
20,10,20,0,2000,195.76094044231016
20,10,20,0,4000,391.5218808846203
20,10,20,0,8000,783.0437617692406
20,10,20,0.005,500,45.292744952001776
20,10,20,0.005,1000,90.58548990400355
20,10,20,0.005,2000,181.1709798080071
20,10,20,0.005,4000,362.3419596160142
20,10,20,0.005,8000,724.6839192320284
20,10,20,0.01,500,41.92467676865498
20,10,20,0.01,1000,83.84935353730997
20,10,20,0.01,2000,167.69870707461993
20,10,20,0.01,4000,335.39741414923986
20,10,20,0.01,8000,670.7948282984797
20,10,20,0.015,500,38.814052845220665
20,10,20,0.015,1000,77.62810569044133
20,10,20,0.015,2000,155.25621138088266
20,10,20,0.015,4000,310.5124227617653
20,10,20,0.015,8000,621.0248455235306
20,10,20,0.02,500,35.9406701003166
20,10,20,0.02,1000,71.8813402006332
20,10,20,0.02,2000,143.7626804012664
20,10,20,0.02,4000,287.5253608025328
20,10,20,0.02,8000,575.0507216050656
20,10,20,0.025,500,33.28595284405717
20,10,20,0.025,1000,66.57190568811434
20,10,20,0.025,2000,133.14381137622868
20,10,20,0.025,4000,266.28762275245737
20,10,20,0.025,8000,532.5752455049147
20,10,30,0,500,47.09524476973423
20,10,30,0,1000,94.19048953946846
20,10,30,0,2000,188.38097907893692
20,10,30,0,4000,376.76195815787383
20,10,30,0,8000,753.5239163157477
20,10,30,0.005,500,41.464748085394945
20,10,30,0.005,1000,82.92949617078989
20,10,30,0.005,2000,165.85899234157978
20,10,30,0.005,4000,331.71798468315956
20,10,30,0.005,8000,663.4359693663191
20,10,30,0.01,500,36.523046159124156
20,10,30,0.01,1000,73.04609231824831
20,10,30,0.01,2000,146.09218463649663
20,10,30,0.01,4000,292.18436927299325
20,10,30,0.01,8000,584.3687385459865
20,10,30,0.015,500,32.183967229142816
20,10,30,0.015,1000,64.36793445828563
20,10,30,0.015,2000,128.73586891657126
20,10,30,0.015,4000,257.4717378331425
20,10,30,0.015,8000,514.943475666285
20,10,30,0.02,500,28.37235985612384
20,10,30,0.02,1000,56.74471971224768
20,10,30,0.02,2000,113.48943942449536
20,10,30,0.02,4000,226.97887884899072
20,10,30,0.02,8000,453.95775769798144
20,10,30,0.025,500,25.022652613215705
20,10,30,0.025,1000,50.04530522643141
20,10,30,0.025,2000,100.09061045286282
