age,nb_payements,maturity,interest_rate,amount,target
20,30,30,0,4000,8.509584461237363
20,30,30,0,8000,17.019168922474726
20,30,30,0.005,500,1.0328868302580798
20,30,30,0.005,1000,2.0657736605161596
20,30,30,0.005,2000,4.131547321032319
20,30,30,0.005,4000,8.263094642064639
20,30,30,0.005,8000,16.526189284129277
20,30,30,0.01,500,1.0030506962657113
20,30,30,0.01,1000,2.0061013925314226
20,30,30,0.01,2000,4.012202785062845
20,30,30,0.01,4000,8.02440557012569
20,30,30,0.01,8000,16.04881114025138
20,30,30,0.015,500,0.9742123118560714
20,30,30,0.015,1000,1.9484246237121428
20,30,30,0.015,2000,3.8968492474242855
20,30,30,0.015,4000,7.793698494848571
20,30,30,0.015,8000,15.587396989697142
20,30,30,0.02,500,0.9463886843235062
20,30,30,0.02,1000,1.8927773686470124
20,30,30,0.02,2000,3.785554737294025
20,30,30,0.02,4000,7.57110947458805
20,30,30,0.02,8000,15.1422189491761
20,30,30,0.025,500,0.9195911964523851
20,30,30,0.025,1000,1.8391823929047701
20,30,30,0.025,2000,3.6783647858095403
20,30,30,0.025,4000,7.356729571619081
20,30,30,0.025,8000,14.713459143238161
20,30,40,0,500,2.3016121431839056
20,30,40,0,1000,4.603224286367811
20,30,40,0,2000,9.206448572735622
20,30,40,0,4000,18.412897145471245
20,30,40,0,8000,36.82579429094249
20,30,40,0.005,500,2.1433418344987825
20,30,40,0.005,1000,4.286683668997565
20,30,40,0.005,2000,8.57336733799513
20,30,40,0.005,4000,17.14673467599026
20,30,40,0.005,8000,34.29346935198052
20,30,40,0.01,500,1.9980753878099098
20,30,40,0.01,1000,3.9961507756198196
20,30,40,0.01,2000,7.992301551239639
20,30,40,0.01,4000,15.984603102479278
20,30,40,0.01,8000,31.969206204958557
20,30,40,0.015,500,1.8648495033087065
20,30,40,0.015,1000,3.729699006617413
20,30,40,0.015,2000,7.459398013234826
20,30,40,0.015,4000,14.918796026469652
20,30,40,0.015,8000,29.837592052939303
20,30,40,0.02,500,1.7427587102461668
20,30,40,0.02,1000,3.4855174204923336
20,30,40,0.02,2000,6.971034840984667
20,30,40,0.02,4000,13.942069681969334
20,30,40,0.02,8000,27.88413936393867
20,30,40,0.025,500,1.6309527599861504
20,30,40,0.025,1000,3.261905519972301
20,30,40,0.025,2000,6.523811039944602
20,30,40,0.025,4000,13.047622079889203
20,30,40,0.025,8000,26.095244159778407
20,40,40,0,500,1.7582540588433755
20,40,40,0,1000,3.516508117686751
20,40,40,0,2000,7.033016235373502
20,40,40,0,4000,14.066032470747004
20,40,40,0,8000,28.132064941494008
20,40,40,0.005,500,1.6753194656524897
20,40,40,0.005,1000,3.3506389313049794
20,40,40,0.005,2000,6.701277862609959
20,40,40,0.005,4000,13.402555725219917
20,40,40,0.005,8000,26.805111450439835
20,40,40,0.01,500,1.5955812613208469
20,40,40,0.01,1000,3.1911625226416938
20,40,40,0.01,2000,6.3823250452833875
20,40,40,0.01,4000,12.764650090566775
20,40,40,0.01,8000,25.52930018113355
20,40,40,0.015,500,1.519193545922252
20,40,40,0.015,1000,3.038387091844504
20,40,40,0.015,2000,6.076774183689008
20,40,40,0.015,4000,12.153548367378017
20,40,40,0.015,8000,24.307096734756033
20,40,40,0.02,500,1.44627337158698
20,40,40,0.02,1000,2.89254674317396
20,40,40,0.02,2000,5.78509348634792
20,40,40,0.02,4000,11.57018697269584
20,40,40,0.02,8000,23.14037394539168
20,40,40,0.025,500,1.3769005192195911
20,40,40,0.025,1000,2.7538010384391822
20,40,40,0.025,2000,5.5076020768783644
20,40,40,0.025,4000,11.015204153756729
20,40,40,0.025,8000,22.030408307513458
30,1,1,0,500,0.5824052314294472
30,1,1,0,1000,1.1648104628588944
30,1,1,0,2000,2.329620925717789
30,1,1,0,4000,4.659241851435578
30,1,1,0,8000,9.318483702871156
30,1,1,0.005,500,0.5795076929646242
30,1,1,0.005,1000,1.1590153859292485
30,1,1,0.005,2000,2.318030771858497
30,1,1,0.005,4000,4.636061543716994
30,1,1,0.005,8000,9.272123087433988
30,1,1,0.01,500,0.5766388429994528
30,1,1,0.01,1000,1.1532776859989056
30,1,1,0.01,2000,2.306555371997811
30,1,1,0.01,4000,4.613110743995622
30,1,1,0.01,8000,9.226221487991245
30,1,1,0.015,500,0.5737982575659579
30,1,1,0.015,1000,1.1475965151319159
30,1,1,0.015,2000,2.2951930302638317
30,1,1,0.015,4000,4.590386060527663
30,1,1,0.015,8000,9.180772121055327
30,1,1,0.02,500,0.5709855210092619
30,1,1,0.02,1000,1.1419710420185238
30,1,1,0.02,2000,2.2839420840370477
30,1,1,0.02,4000,4.567884168074095
30,1,1,0.02,8000,9.13576833614819
30,1,1,0.025,500,0.5682002257848267
30,1,1,0.025,1000,1.1364004515696533
30,1,1,0.025,2000,2.2728009031393066
30,1,1,0.025,4000,4.545601806278613
30,1,1,0.025,8000,9.091203612557226
30,1,5,0,500,3.1725758659446206
30,1,5,0,1000,6.345151731889241
30,1,5,0,2000,12.690303463778482
30,1,5,0,4000,25.380606927556965
30,1,5,0,8000,50.76121385511393
30,1,5,0.005,500,3.123981580267579
30,1,5,0.005,1000,6.247963160535158
30,1,5,0.005,2000,12.495926321070316
30,1,5,0.005,4000,24.991852642140632
30,1,5,0.005,8000,49.983705284281264
30,1,5,0.01,500,3.0765204759993696
30,1,5,0.01,1000,6.153040951998739
30,1,5,0.01,2000,12.306081903997478
